Vocab Word|Page|Type of Plural|Arabic|Plural|Alt. Plural|Fem. Sing.|Fem. Plural|Part of Speech|Verb Type
prophet, messenger; apostle|xx - Introduction|17e|رَسُول|رُسُل||||n|
messenger, prophet; apostle|xx - Introduction|17e|رَسُول|رُسُل||||n|
apostle; prophet, messenger|xx - Introduction|17e|رَسُول|رُسُل||||n|
book|xx - Introduction|17f|كِتاب|كُتُب||||n|
blanket|xx - Introduction|17f|لْحاف|لُحُف||||n|
horse|xx - Introduction|17f|حْصان|حُصُن||||n|
stick|xxi - Introduction|18a|عَصايْ|عُصِي||||n|
cover, lid; bed sheet|xxi - Introduction|18b|غَطا|غُطِي||||n|
lid, cover; bed sheet|xxi - Introduction|18b|غَطا|غُطِي||||n|
sheet (bed); cover, lid|xxi - Introduction|18b|غَطا|غُطِي||||n|
Bedouin; nomad|xxi - Introduction|19|بَدَوِي|بَدُو||||n|
nomad; Bedouin|xxi - Introduction|19|بَدَوِي|بَدُو||||n|
tourist|xxi - Introduction|20a|سايِح|سُوّاح||||n|
student|xxi - Introduction|20a|طالِب|طُلّاب||||n|
governer|xxi - Introduction|20a|حاكِم|حُكّام||||n|
infidel|xxi - Introduction|20a|كافِر|كُفّار||||n|
sinner|xxi - Introduction|20a|خاطِي|خُطّاة||||n|
critic|xxi - Introduction|20a|ناقِد|نُقّاد||||n|
visitor|xxi - Introduction|20a|زايِر|زُوّار||||n|
officer|xxi - Introduction|20a|ضابِط|ضُبّاط||||n|
pioneer; astronaut; (army) major|xxi - Introduction|20a|رائِد|رُوّاد||||n|
astronaut; pioneer; (army) major|xxi - Introduction|20a|رائِد|رُوّاد||||n|
major (army); pioneer; astronaut|xxi - Introduction|20a|رائِد|رُوّاد||||n|
deputy; vice (-president); political representative|xxi - Introduction|20a|نائِب|نُوّاب||||n|
vice (-president); deputy; political representatvie|xxi - Introduction|20a|نائِب|نُوّاب||||n|
political representative; deputy; vice (-president)|xxi - Introduction|20a|نائِب|نُوّاب||||n|
immoral person|xxi - Introduction|20a|فاجِر|فُجّار||||n|
worker, laborer|xxi - Introduction|20a|عامِل|عُمّال||||n|
laborer, worker|xxi - Introduction|20a|عامِل|عُمّال||||n|
dealer, merchant|xxi - Introduction|20a|تاجِر|تُجّار||||n|
merchant, dealer|xxi - Introduction|20a|تاجِر|تُجّار||||n|
preacher (Christian)|xxi - Introduction|20a|واعِظ|وُعّاظ||||n|
rider, passenger|xxi - Introduction|20a|راكِب|رُكّاب||||n|
passenger, rider|xxi - Introduction|20a|راكِب|رُكّاب||||n|
writer, author|xxi - Introduction|20a|كاتِب|كُتّاب||||n|
author, writer|xxi - Introduction|20a|كاتِب|كُتّاب||||n|
leader (military); leader|xxi - Introduction|20a|قائِد|قُوّاد||||n|
leader; military leader|xxi - Introduction|20a|قائِد|قُوّاد||||n|
Hajj (one who did the)|xxi - Introduction|20b|حَجّ|حُجّاج||||n|
fiance (m.)|xxi - Introduction|20c|خَطِيب|خُطّاب||||n|
fly; horsefly|xxi - Introduction|20d|دُبّانة|دُبّان||||n|
horsefly; fly|xxi - Introduction|20d|دُبّانة|دُبّان||||n|
rug, mat|xxi - Introduction|21|سِجّادة|سِجّاد||||n|
mat, rug|xxi - Introduction|21|سِجّادة|سِجّاد||||n|
troublemaker|xxi - Introduction|22a|مَشْكَلْجِي|مَشْكَلْجِيّة||||n|
plumber|xxi - Introduction|22a|سَمْكَرِي|سَمْكَرِيّة||||n|
goalie|xxi - Introduction|22a|جَوْلْجِي|جَوْلْجِيّة||||n|
electrician|xxi - Introduction|22a|كَهْرَبْجِي|كَهْرَبْجِيّة||||n|
tire repairman|xxi - Introduction|22a|بَنْشَرْجِي|بَنْشَرْجِيّة||||n|
lawyer, attorney|xxi - Introduction|22b|مُحامِي|مُحامِيّة||||n|
attorney, lawyer|xxi - Introduction|22b|مُحامِي|مُحامِيّة||||n|
plumber|xxi - Introduction|22c|مَوَسِرْجِي|مُوَسَرْجِيّة||||n|
slave|xxi - Introduction|23a|عَبْد|عَبِيد||||n|
year|xxi - Introduction|23a|سَنة|سْنِين||||n|
donkey; mule|xxi - Introduction|23b|حْمار|حَمِير||||n|
mule; donkey|xxi - Introduction|23b|حْمار|حَمِير||||n|
deaf person|xxii - Introduction|24a|أَطْرَش|طُرْشان||||n|
scoundrel|xxii - Introduction|24a|أَزْعَر|زُعْران||||n|
thug|xxii - Introduction|24a|أَزْعَر|زُعْران||||n|
blind person|xxii - Introduction|24a|أَعْمى|عُمْيان||||n|
mute person, mute|xxii - Introduction|24a|أَخْرَس|خُرْسان||||n|
deer|xxii - Introduction|24b|غَزال|غُزْلان||||n|
courageous one, brave one|xxii - Introduction|24b|شُجاع|شُجْعان||||n|
brave one, courageous one|xxii - Introduction|24b|شُجاع|شُجْعان||||n|
crow; raven|xxii - Introduction|24b|غُراب|غُرْبان||||n|
raven; crow|xxii - Introduction|24b|غُراب|غُرْبان||||n|
wing (of a bird or a plane)|xxii - Introduction|24b|جَناح|جُنْحان||||n|
shirt|xxii - Introduction|24c|قَمِيص|قُمْصان||||n|
rod (metal), bar (metal)|xxii - Introduction|24c|قَضِيب|قُضْبان||||n|
bar (metal), rod (metal)|xxii - Introduction|24c|قَضِيب|قُضْبان||||n|
groom|xxii - Introduction|24c|عَرِيس|عُرْسان||||n|
shepherd|xxii - Introduction|24d|راعِي|رُعْيان||||n|
sheep|xxii - Introduction|24e|خَرُوف|خُرْفان||||n|
pole, post; pillar, column|xxii - Introduction|24e|عَمُود|عُمْدان||||n|
post, pole; pillar, column|xxii - Introduction|24e|عَمُود|عُمْدان||||n|
pillar, column; pole, post|xxii - Introduction|24e|عَمُود|عُمْدان||||n|
column, pillar; pole, post|xxii - Introduction|24e|عَمُود|عُمْدان||||n|
pastor|xxii - Introduction|24f|راعِي|رُعاة||||n|
judge|xxii - Introduction|24f|قاضِي|قُضاة||||n|
amateur; hobbyist|xxii - Introduction|24f|هاوِي|هُواة||||n|
hobbyist; amateur|xxii - Introduction|24f|هاوِي|هُواة||||n|
pedestrian, walker|xxii - Introduction|24f|ماشِي|مُشاة||||n|
walker, pedestrian|xxii - Introduction|24f|ماشِي|مُشاة||||n|
sheep|xxii - Introduction|25a|خَرُوف|خِرْفان||||n|
valley|xxii - Introduction|25b|وادِي|وِدْيان||||n|
doctor|xxii - Introduction|26a|دَكْتُور|دَكاتْرة||||n|
priest|xxii - Introduction|26b|خُورِي|خَوارْنة||||n|
old man|xxii - Introduction|26c|خِتْيار|خَتايْرة||||n|
professor, teacher|xxii - Introduction|26d|أُسْتاز|أَساتْزة||||n|
teacher, professor|xxii - Introduction|26d|أُسْتاز|أَساتْزة||||n|
genius|xxii - Introduction|26e|عَبْقَرِي|عَباقِرة||||n|
pastor|xxii - Introduction|26f|قَسِّيس|قَساوْسة||||n|
material, matter, element; subject (school)|xxii - Introduction|27|مادّة|مَواد||||n|
matter, element, material; subject (school)|xxii - Introduction|27|مادّة|مَواد||||n|
element, material, matter; subject (school)|xxii - Introduction|27|مادّة|مَواد||||n|
subject (school); material, matter, element|xxii - Introduction|27|مادّة|مَواد||||n|
fire|xxii - Introduction|28|نار|نِيران||||n|
mouse|xxii - Introduction|28|فار|فِيران||||n|
example|xxii - Introduction|29a|مِثال|أَمْثِلة||||n|
medal|xxii - Introduction|29a|وِسام|أَوْسِمة||||n|
weapon|xxii - Introduction|29a|سِلاح|أَسْلِحة||||n|
horse|xxii - Introduction|29a|حْصان|أَحْصِنة||||n|
device (electrical)|xxii - Introduction|29a|جِهاز|أَجْهِزة||||n|
tongue|xxii - Introduction|29a|لْسان|أَلْسِنة||||n|
god (a)|xxiii - Introduction|29a|إِلَه|آلِهة||||n|
system; order; rule, guideline|xxiii - Introduction|29a|نِظام|أَنْظِمة||||n|
order; system; rule, guideline|xxiii - Introduction|29a|نِظام|أَنْظِمة||||n|
rule, guideline; system; order|xxiii - Introduction|29a|نِظام|أَنْظِمة||||n|
guideline, rule; system; order|xxiii - Introduction|29a|نِظام|أَنْظِمة||||n|
belt|xxiii - Introduction|29a|حِزام|أَحْزِمة||||n|
question|xxiii - Introduction|29b|سُؤَال|أَسْئِلة||||n|
answer|xxiii - Introduction|29c|جَواب|أَجْوِبة||||n|
wing (of a bird or a plane)|xxiii - Introduction|29c|جَناح|أَجْنِحة||||n|
place|xxiii - Introduction|29c|مِكان|أَمْكِنة||||n|
tape; cassette tape|xxiii - Introduction|29d|شَرِيط|أَشْرِطة||||n|
cassette tape; tape|xxiii - Introduction|29d|شَرِيط|أَشْرِطة||||n|
sidewalk, curb|xxiii - Introduction|29d|رَصِيف|أَرْصِفة||||n|
curb, sidewalk|xxiii - Introduction|29d|رَصِيف|أَرْصِفة||||n|
medicine|xxiii - Introduction|29e|دَوا|أَدْوِية||||n|
cover, lid; bed sheet|xxiii - Introduction|29e|غَطا|أَغْطِية||||n|
lid, cover; bed sheet|xxiii - Introduction|29e|غَطا|أَغْطِية||||n|
sheet (bed); cover, lid|xxiii - Introduction|29e|غَطا|أَغْطِية||||n|
valley|xxiii - Introduction|29f|وادِي|أَوْدِية||||n|
guide; manual, instruction book|xxiii - Introduction|30|دَلِيل|أَدِلّة||||n|
manual, instruction book; guide|xxiii - Introduction|30|دَلِيل|أَدِلّة||||n|
book (instruction), manual; guide|xxiii - Introduction|30|دَلِيل|أَدِلّة||||n|
sky; heaven|xxiii - Introduction|31a|سَما|سَمَوات||||n|
heaven; sky|xxiii - Introduction|31a|سَما|سَمَوات||||n|
mother-in-law|xxiii - Introduction|31a|حَماة|حَمَوات||||n|
channel (satellite or television); ditch|xxiii - Introduction|31a|قَناة|قَنَوات||||n|
ditch; channel (satellite or television)|xxiii - Introduction|31a|قَناة|قَنَوات||||n|
prayer|xxiii - Introduction|31a|صَلاة|صَلَوات||||n|
mom, mother|xxiii - Introduction|31b|أُمّ|أُمَّهات||||n|
mother, mom|xxiii - Introduction|31b|أُمّ|أُمَّهات||||n|
mom, mother|xxiii - Introduction|31b|إِمّ|أُمَّهات||||n|
mother, mom|xxiii - Introduction|31b|إِمّ|أُمَّهات||||n|
discount|xxiii - Introduction|31c|خَصِم|خُصُومات||||n|
examination (physical); exam, test|xxiii - Introduction|31c|فَحْص|فْحُوصات||||n|
exam, test; examination (physical)|xxiii - Introduction|31c|فَحْص|فْحُوصات||||n|
test, exam; examination (physical)|xxiii - Introduction|31c|فَحْص|فْحُوصات||||n|
canned good, canned food, can|xxiii - Introduction|31d|عِلْبة|مُعَلَّبات||||n|
can, canned good, canned food|xxiii - Introduction|31d|عِلْبة|مُعَلَّبات||||n|
goldsmith|xxiii - Introduction|32|صايِغ|صاغة||||n|
leader|xxiii - Introduction|32|قائِد|قادة||||n|
traitor, backstabber|xxiii - Introduction|33|خايِن|خَوَنة||||n|
backstabber, traitor|xxiii - Introduction|33|خايِن|خَوَنة||||n|
policeman|xxiii - Introduction|34a|شُرْطِي|شُرْطة||||n|
sick person; patient|xxiii - Introduction|34b|مَرِيض|مُرَضا||||n|
patient; sick person|xxiii - Introduction|34b|مَرِيض|مُرَضا||||n|
sick person; patient|xxiii - Introduction|35|مَرِيض|مَرْضى||||n|
patient; sick person|xxiii - Introduction|35|مَرِيض|مَرْضى||||n|
night|xxiii - Introduction|36|لَيْل|لَيالِي||||n|
intention|xxiv - Introduction|37|نِيّة|نَواية||||n|
house, home|xxiv - Introduction|38a|دار|دُور||||n|
home, house|xxiv - Introduction|38a|دار|دُور||||n|
worm|xxiv - Introduction|38b|دُودة|دُود||||n|
ant|xxiv - Introduction|39|نَمْلة|نَمِل||||n|
bone|xxiv - Introduction|39|عَضْمة|عَضِم||||n|
goat|xxiv - Introduction|39|عَنْزة|عَنْز||||n|
bee|xxiv - Introduction|39|نَحْلة|نَحِل||||n|
wave|xxiv - Introduction|39|مَوْجة|مَوْج||||n|
fish|xxiv - Introduction|40|سَمَكة|سَمَك||||n|
cow|xxiv - Introduction|40|بَقَرة|بَقَر||||n|
duck|xxiv - Introduction|40|بَطّة|بَطّ||||n|
pill, capsule; seed, kernel, grain|xxiv - Introduction|40|حَبّة|حَبّ||||n|
capsule, pill; seed, kernel, grain|xxiv - Introduction|40|حَبّة|حَبّ||||n|
seed, kernel, grain; pill, capsule|xxiv - Introduction|40|حَبّة|حَبّ||||n|
kernel, seed, grain; pill, capsule|xxiv - Introduction|40|حَبّة|حَبّ||||n|
grain, seed, kernel; pill, capsule|xxiv - Introduction|40|حَبّة|حَبّ||||n|
chicken, hen|xxiv - Introduction|40|جاجة|جاج||||n|
hen, chicken|xxiv - Introduction|40|جاجة|جاج||||n|
sheep|xxiv - Introduction|40|غَنَمة|غَنَم||||n|
tick|xxiv - Introduction|40|بَقّة|بَقّ||||n|
tree|xxiv - Introduction|40|شَجَرة|شَجَر||||n|
rude person|xxiv - Introduction|41|نَوَرِي|نَوَر||||n|
gypsy|xxiv - Introduction|41|نُورِي|نَوَر||||n|
seed|xxiv - Introduction|42|بِزْرة|بِزِر||||n|
rubber band|xxiv - Introduction|43|مُغَّيْطة|مُغَّيْط||||n|
tape (a piece of); sticker|xxiv - Introduction|43|لُزَّيْقة|لُزَّيْق||||n|
sticker; a piece of tape|xxiv - Introduction|43|لُزَّيْقة|لُزَّيْق||||n|
watermelon|xxiv - Introduction|44|بَطِّيخة|بَطِّيخ||||n|
vessel|xxiv - Introduction|45|واعة|أَوْعَية||||n|
brother|xxiv - Introduction|46|أَخّ|إِخْوة||||n|
month|xxiv - Introduction|47a|شَهَر|أَشْهُر||||n|
roof|xxiv - Introduction|47b|سَطِح|أَسْطُح||||n|
arrow; stock|xxiv - Introduction|47b|سَهِم|أَسْهُم||||n|
stock; arrow|xxiv - Introduction|47b|سَهِم|أَسْهُم||||n|
roof|xxiv - Introduction|47c|سْطُوح|أَسْطُح||||n|
prisoner, captive|xxiv - Introduction|48|أَسِير|أَسْرى||||n|
captive, prisoner|xxiv - Introduction|48|أَسِير|أَسْرى||||n|
place|xxiv - Introduction|49|مَكان|أَماكِن||||n|
Arab|xxv - Introduction||عَرَبِي|عَرَب||||n, adj|
British|xxv - Introduction||إِنْجْلِيزِي|إِنْجْلِيز||||n, adj|
Chinese|xxv - Introduction||صِينِي|صِينِيِّين||||n, adj|
Spaniard|xxv - Introduction||إِسْبانِي|إِسْبانِيِّة||||n, adj|
Spaniard|xxv - Introduction||إِسْبانِي|إِسْبان||||n, adj|
Finnish|xxv - Introduction||فِنْلَنْدِي|فِنْلَنْدِيِّين||||n, adj|
Italian|xxv - Introduction||إِيطالِي|إِيطالِيِّين||||n, adj|
Italian|xxv - Introduction||إِيطالِي|تِلْيان||||n, adj|
Australian|xxv - Introduction||أُسْتْرالِي|أُسْتْرالِيِّين||||n, adj|
Korean|xxv - Introduction||كُورِي|كُورِيِّين||||n, adj|
Korean|xxv - Introduction||كُورِي|كُورِيّة||||n, adj|
Jew, Jewish|xxv - Introduction||يَهُودِي|يَهُود||||n, adj|
Jewish, Jew|xxv - Introduction||يَهُودِي|يَهُود||||n, adj|
Jordanian|xxv - Introduction||أُرْدُنِي|أُرْدُنِيّة||||n, adj|
Jordanian|xxv - Introduction||أُرْدُنِي|أُرْدُنِيِّين||||n, adj|
Iraqi|xxv - Introduction||عِراقِي|عِراقِيّة||||n, adj|
Iraqi|xxv - Introduction||عِراقِي|عِراقِيِّين||||n, adj|
Omani|xxv - Introduction||عُمانِي|عُمانِيّة||||n, adj|
Omani|xxv - Introduction||عُمانِي|عُمانِيِّين||||n, adj|
Qatari|xxv - Introduction||قَطَرِي|قَطَرِيّة||||n, adj|
Qatari|xxv - Introduction||قَطَرِي|قَطَرِيِّين||||n, adj|
Egyptian|xxv - Introduction||مَصْرِي|مَصارْوة||||n, adj|
Egyptian|xxv - Introduction||مَصْرِي|مَصرِيِّين||||n, adj|
Saudi|xxv - Introduction||سَعُودِي|سَعُودِيّة||||n, adj|
Saudi|xxv - Introduction||سَعُودِي|سَعُودِيِّين||||n, adj|
Moroccan|xxv - Introduction||مَغْرِبِي|مَغارْبة||||n, adj|
Chadian|xxv - Introduction||تْشادِي|تْشادِيّة||||n, adj|
Chadian|xxv - Introduction||تْشادِي|تْشادِيِّين||||n, adj|
Libyan|xxv - Introduction||لَيبِي|لِيبِيِّين||||n, adj|
Ethiopian|xxv - Introduction||أَثْيُوبِي|أَثْيُوبِيِّين||||n, adj|
Filipino|xxv - Introduction||فِلِبِّينِي|فِلِبِّينِيّة||||n, adj|
Filipino|xxv - Introduction||فِلِبِّينِي|فِلِبِّينِيِّين||||n, adj|
Indian|xxv - Introduction||هِنْدِي|هِنُود||||n, adj|
Malaysian|xxv - Introduction||مالِيزِي|مالِيزِيِّين||||n, adj|
American|xxv - Introduction||أَمْرِيكِي|أَمْرِيكِيِّين||||n, adj|
American|xxv - Introduction||أَمْرِيكِي|أَمِرْكان||||n, adj|
German|xxv - Introduction||أَلْمانِي|أَلْمان||||n, adj|
Turkish|xxv - Introduction||تُرْكِي|أَتْراك||||n, adj|
Frenchman|xxv - Introduction||فَرَنْسِي|فَرَنْسِيِّين||||n, adj|
Swiss|xxv - Introduction||سْوِيسْرِي|سْوِيسْرِيّة||||n, adj|
Swiss|xxv - Introduction||سْوِيسْرِي|سْوِيسْرِيِّين||||n, adj|
Mexican|xxv - Introduction||مَكْسِيكِي|مَكْسِيكِيِّين||||n, adj|
New Zealander|xxv - Introduction||نْيُوزْلَنْدِي|نْيُوزْلَنْدِيِّين||||n, adj|
Japanese|xxv - Introduction||يابانِي|يابانِيّة||||n, adj|
Japanese|xxv - Introduction||يابانِي|يابانِيِّين||||n, adj|
Armenian|xxv - Introduction||أَرْمَنِي|أَرْمَن||||n, adj|
Syrian|xxv - Introduction||سُورِي|سُورِيّة||||n, adj|
Syrian|xxv - Introduction||سُورِي|سُورِيِّين||||n, adj|
Kuwaiti|xxv - Introduction||كْوَيْتِي|كْوَيْتِيّة||||n, adj|
Kuwaiti|xxv - Introduction||كْوَيْتِي|كْوَيْتِيِّين||||n, adj|
Bahraini|xxv - Introduction||بَحْرَيْنِي|بَحْرَيْنِيّة||||n, adj|
Bahraini|xxv - Introduction||بَحْرَيْنِي|بَحْرَيْنِيِّين||||n, adj|
Yemeni|xxv - Introduction||يَمَنِي|يَمَنِيّة||||n, adj|
Yemeni|xxv - Introduction||يَمَنِي|يَمَنِيِّين||||n, adj|
Lebanese|xxv - Introduction||لُبْنانِي|لُبْنانِيّة||||n, adj|
Lebanese|xxv - Introduction||لُبْنانِي|لُبْنانِيِّين||||n, adj|
Palestinian|xxv - Introduction||فَلَسْطِينِي|فَلَسْطِينِيّة||||n, adj|
Palestinian|xxv - Introduction||فَلَسْطِينِي|فَلَسْطِينِيِّين||||n, adj|
Sudanese|xxv - Introduction||سُودانِي|سُودانِيّة||||n, adj|
Sudanese|xxv - Introduction||سُودانِي|سُودانِيِّين||||n, adj|
Algerian|xxv - Introduction||جَزائِرِي|جَزائِرِيّة||||n, adj|
Algerian|xxv - Introduction||جَزائِرِي|جَزائِرِيِّين||||n, adj|
Mauritanian|xxv - Introduction||مُورِيتانِي|مُورِيتانِيّة||||n, adj|
Mauritanian|xxv - Introduction||مُورِيتانِي|مُورِيتانِيِّين||||n, adj|
Nigerian|xxv - Introduction||نايْجِيرِي|نايْجِيرِيِّين||||n, adj|
Sri Lankan|xxv - Introduction||سِرِلَنْكِي|سِرِلَنْكِيّة||||n, adj|
Sri Lankan|xxv - Introduction||سِرِلَنْكِي|سِرِلَنْكِيِّين||||n, adj|
Pakistani|xxv - Introduction||باكاسْتانِي|باكاسْتانِيّة||||n, adj|
Pakistani|xxv - Introduction||باكاسْتانِي|باكاسْتانِيِّين||||n, adj|
Indonesian|xxv - Introduction||أَنْدُونِيسِي|أَنْدُونِيسِيّة||||n, adj|
Indonesian|xxv - Introduction||أَنْدُونِيسِي|أَنْدُونِيسِيّة||||n, adj|
Korea|||كُورِيا|||||n|
Israel|||إسْرائِيل|||||n|
Israeli|||إسْرائِيلِي|إسْرائِيلِيِّين||||n, adj|
Chad|||تْشاد|||||n|
Ethiopia|||أَثْيُوبِيا|||||n|
Philipines (The)|||الفِلِبِّين|||||n|
Malaysia|||مالِيزِيا|||||n|
Kuwait|||الكْوَيْت|||||n|
Mauritania|||مُورِيتانِيا|||||n|
Nigeria|||نايْجِيرِيا|||||n|
contact|1||اتَّصَل مع\في\ب|||||v|
come|1||إجى (على\ل)|||||v|
come by|1||إجى ب (ل)|||||v|
fall in, land in|1||إجى في|||||v|
land in, fall in|2||إجى في|||||v|
talk about him (negatively)|2||إجى فيه|||||v|
get on, get onto|2||إجى على|||||v|
feel like|3||إجى على بالُه|||||v|
fit|3||إجى على قَدُّه|||||v|
fit|3||إجى على مَقاسُه|||||v|
come for him|4||إجالُه\إجاه|||||v|
net|4||إجاه رِبِح صافي|||||v|
take|5||أخَذ|||||v|
figure on, count on|6||أخَذ بِعَيْنِ الإِعْتِبار إنُّه|||||v|
count on, figure on|6||أخَذ بِعَيْنِ الإِعْتِبار إنُّه|||||v|
raise money|7||أخَذ دَعِم|||||v|
ask his opinion/advice|7||أخَذ رأْيُه|||||v|
get the idea that|8||أخَذ فِكْرة إِنُّه|||||v|
look up to|8||أخُذ قُدْوة إِلُه|||||v|
look up to|8||أخُذ مِثال إِلُه|||||v|
be on guard, take a stance|9||أخُذ مَوْقِف|||||v|
use|9||اسْتَعْمِل|||||v|
wait|10||اسْتَنّى|||||v|
buy|10||اشْتَرى|||||v|
work|11||اشْتَغَل|||||v|
give|13||أعْطى|||||v|
motivate, push|13||أعْطاه دَفْعة|||||v|
confide in him|13||أعْطاه سِرّ|||||v|
pass away|14||أعْطاه عُمْرُه|||||v|
eat|14||أكَل|||||v|
kick himself|15||أكَل أَصابِعُه نَدَم|||||v|
get punched|15||أكَل بُكْس|||||v|
fall for the joke|16||أكَل المَقْلَب|||||v|
sell|17||باع|||||v|
care less (could not)|17||باعْها|||||v|
care less (could not)|||باع الدِّنْيا بِلِّي فِيها|||||v|
sell himself out|18||باع ضَمِيرُه|||||v|
begin, start|18||بَدا|||||v|
start, begin|18||بَدا|||||v|
stop, quit, change his mind|18||بَطَّل|||||v|
quit, stop, change his mind|18||بَطَّل|||||v|
change his mind, quit, stop|18||بَطَّل|||||v|
run out of|19||بَطَّل في عِنْدُه|||||v|
send|19||بَعَث|||||v|
stay, last|20||بِقِي|||||v|
last, stay|20||بِقِي|||||v|
start, begin|20||بَلَّش|||||v|
begin, start|20||بَلَّش|||||v|
build|21||بَنى|||||v|
seem, indicate, appear, show|21||بَيَّن|||||v|
show, seem,indicate, appear|21||بَيَّن|||||v|
appear, show, seem, indicate|21||بَيَّن|||||v|
indicate, appear, show, seem|21||بَيَّن|||||v|
confirm, make sure|22||تَأَكَّد|||||v|
make sure, confirm|22||تَأَكَّد|||||v|
remember|23||تَذَكَّر|||||v|
leave, quit (a job, a habit)|24||تَرَك|||||v|
quit (a job, a habit), leave|24||تَرَك|||||v|
look around|25||تَطَلَّع|||||v|
look at, watch|26||تَطَلَّع على|||||v|
watch, look at|26||تَطَلَّع على|||||v|
have his eye on|26||تَطَلَّع ل|||||v|
tire of, tire|27||تِعِب|||||v|
learn|27||تَعَلَّم|||||v|
look around, watch|28||تَفَرَّج|||||v|
watch, look around|28||تَفَرَّج|||||v|
hope|28||تَمَنّى|||||v|
bring, get|29||جاب|||||v|
get, bring|29||جاب|||||v|
made a profit|29||جاب رِبِح|||||v|
net|29||جاب رِبِح صافِي|||||v|
raise money|29||جاب دَعِم|||||v|
mention, bring up|29||جاب سِيرة|||||v|
bring up, mention|29||جاب سِيرة|||||v|
tempt, try, give something a try (esp. food)|30||جَرَّب|||||v|
try, give something a try (esp. food), tempt|30||جَرَّب|||||v|
give something a try (esp. food), tempt, try|30||جَرَّب|||||v|
try, attempt|30||حاوَل|||||v|
attempt, try|30||حاوَل|||||v|
love, like|31||حَبّ|||||v|
like, love|31||حَبّ|||||v|
feel|31||حَسّ|||||v|
attend|32||حِضِر|||||v|
put|32||حَطّ|||||v|
pick on|33||حَطّ حَطِّطُه على|||||v|
pick on|33||حَطّ حْطاطُه على|||||v|
blame|33||حَطّ الحَقّ على|||||v|
say, speak|35||حكى|||||v|
speak, say|35||حكى|||||v|
be scared, fear, worry|37||خاف|||||v|
fear, worry, be scared|37||خاف|||||v|
worry, be scared, fear|37||خاف|||||v|
tell, inform, brief|37||خَبَّر|||||v|
inform, brief, tell|37||خَبَّر|||||v|
brief, tell, inform|37||خَبَّر|||||v|
misinformed|38||خَبَّرُه غَلَطْ|||||v|
mess up, ruin, corrupt, vandalize, mar|38||خَرَّب|||||v|
ruin, corrupt, vandalize, mar, mess up|38||خَرَّب|||||v|
corrupt, vandalize, mar, mess up, ruin|38||خَرَّب|||||v|
vandalize, mar, mess up, ruin, corrupt|38||خَرَّب|||||v|
mar, mess up, ruin, corrupt, vandalize|38||خَرَّب|||||v|
decrease, lessen, lighten, minimize|39||خَفَّف|||||v|
lessen, lighten, minimize, decrease|39||خَفَّف|||||v|
lighten, minimize, decrease, lessen|39||خَفَّف|||||v|
minimize, decrease, lessen, lighten|39||خَفَّف|||||v|
try to be funny, act stupid|39||خَفَّف دَمُّه|||||v|
act stupid, try to be funny|39||خَفَّف دَمُّه|||||v|
stay, let, make, force, keep|40||خَلّى|||||v|
let, make, force, keep, stay|40||خَلّى|||||v|
make, force, keep, stay, let|40||خَلّى|||||v|
force, keep, stay, let, make|40||خَلّى|||||v|
keep, stay, let, make, force|40||خَلّى|||||v|
knock him out|41||خَلّاه يَغَيِّب|||||v|
finish, use up, run out, save (from death/hell)|43||خَلَّص|||||v|
use up, run out, save (from death/hell), finish|43||خَلَّص|||||v|
run out, save (from death/hell), finish, use up|43||خَلَّص|||||v|
save (from death/hell), finish, use up, run out|43||خَلَّص|||||v|
kill, end the life|44||خَلَّص على|||||v|
end the life, kill|44||خَلَّص على|||||v|
enter|44||دَخَل|||||v|
walk in on, hack into|44||دَخَل على|||||v|
hack into, walk in on|44||دَخَل على|||||v|
interfere, involve himself|45||دَخَل في\ب|||||v|
involve himself, interfere|45||دَخَل في\ب|||||v|
matter to him, concern him|45||دَخَلُه|||||v|
concern him, matter to him|45||دَخَلُه|||||v|
have something to do with|45||دَخَلُه ب\في|||||v|
have something to do with|45||إلُه دَخَلْ ب\في|||||v|
study, think about|45||دَرَس|||||v|
think about, study|45||دَرَس|||||v|
pay, push|46||دَفَع|||||v|
push, pay|46||دَفَع|||||v|
look for, search|47||دَوَّر على|||||v|
search, look for|47||دَوَّر على|||||v|
go|48||راح|||||v|
miss (the bus, party, etc)|48||راح على|||||v|
sleep in, oversleep|48||راح عَلَيْه نَوْمة|||||v|
oversleep, sleep in|48||راح عَلَيْه نَوْمة|||||v|
forget|48||راح عن بالُه|||||v|
fade, lose color|48||راح لَوْنُه|||||v|
lose color, fade|48||راح لَوْنُه|||||v|
go to bed, sleep|49||راح ينام|||||v|
sleep, go to bed|49||راح ينام|||||v|
tidy up, arrange, organize, straighten up, clean up|49||رَتَّب|||||v|
arrange, organize, straighten up, clean up, tidy up|49||رَتَّب|||||v|
organize, straighten up, clean up, tidy up, arrange|49||رَتَّب|||||v|
straighten up, clean up, tidy up, arrange, organize|49||رَتَّب|||||v|
clean up, tidy up, arrange, organize, straighten up|49||رَتَّب|||||v|
pack his bags|50||رَتَّب شُنَتُه|||||v|
set a time, schedule a time|50||رَتَّب وَقْت|||||v|
schedule a time, set a time|50||رَتَّب وَقْت|||||v|
return, come back, get back|50||رِجِع|||||v|
come back, get back, return|50||رِجِع|||||v|
get back, return, come back|50||رِجِع|||||v|
back up|51||رِجِع لَوَرا|||||v|
raise, lift|52||رَفَع|||||v|
lift, raise|52||رَفَع|||||v|
