Vocab Word|Page|Type of Plural|Arabic|Plural|Alt. Plural|Fem. Sing.|Fem. Plural|Part of Speech|Verb Type
hate|63||شافُه زَيّ عُزْرايِين|||||v|
despise|63||شافُه زَيّ عُزْرايِيل|||||v|
despise|63||شافُه زَيّ عُزْرايِين|||||v|
loath|63||شافُه زَيّ عُزْرايِيل|||||v|
loath|63||شافُه زَيّ عُزْرايِين|||||v|
Angel of Death|||عُزْرايِيل|||||n|
Angel of Death|||عُزْرايِين|||||n|
drink|63||شِرِب|||||v|
take a sip (or puff, drag)|63||شِرِب شَفّة|||||v|
have a sip|63||شِرِب شَفّة|||||v|
chug|63||شِرْبُه مَرّة واحْدة|||||v|
gulp down|63||شِرْبُه مَرّة واحْدة|||||v|
thank|63||شَكَر|||||v|
thank for|63||شَكَر ل/على|||||v|
become|64||صار|||||v|
get|64||صار|||||v|
happen|64||صار|||||v|
start|64||صار|||||v|
begin|64||صار|||||v|
come out to|64||صار|||||v|
come of it|64||صار بَعِد|||||v|
drift apart from|64||صار بَعِيد عن|||||v|
get serious|64||صار جَدِّي|||||v|
get crowded|65||صار زَحْمة|||||v|
turn (an age)|65||صار عُمْرُه|||||v|
have been (a period of time)|65||صارْلُه|||||v|
happen with him|65||صار معُه|||||v|
have|65||صار مع|||||v|
get a hold of (something)|65||صار مع|||||v|
become infatuated with|65||صار مُغْرَم فِي/ب|||||v|
go crazy for|65||صار مُغْرَم فِي/ب|||||v|
infatuated with|||مُغْرَم فِي/ب|||||adj|
in love with|||مُغْرَم فِي/ب|||||adj|
become infested with|65||صار مَلْيان ب|||||v|
worsen|66||صار الوَضِع أَسْوَأ|||||v|
go down hill|66||صار الوَضِع أَسْوَأ|||||v|
be time for bed|66||صار وَقْت النَّوْم|||||v|
It's time for bed|66||صار وَقْت النَّوْم|||||phrase|
It's time for bed|||إجى وَقْت النَّوْم|||||phrase|
start dozing off|66||صار يِغْفى|||||v|
start falling asleep|66||صار يِغْفى|||||v|
nod off|||غَفى|||||v|
doze|66||غَفى|||||v|
hit|66||ضَرَب|||||v|
strike|66||ضَرَب|||||v|
shoot|66||ضَرَب|||||v|
multiply|66||ضَرَب|||||v|
car brakes|||بْرَيْك|||||n|
brake pedal|||بْرَيْك|||||n|
hit the brake|66||ضَرَب بْرَيْك|||||v|
shoot a missile at|66||ضَرَب صارُوخ على|||||v|
call|66||ضَرَب على|||||v|
telephone|66||ضَرَب على|||||v|
give him a call|66||ضَرَب على|||||v|
call|67||ضَرَبْلُه تَلِفُوْن|||||v|
telephone|67||ضَرَبْلُه تَلِفُوْن|||||v|
give him a call|67||ضَرَبْلُه تَلِفُوْن|||||v|
be not all there|67||ضَرْبَت فْيُوزاتُه|||||v|
lose his marbles|67||ضَرْبَت فْيُوزاتُه|||||v|
have a short in his fuse|67||ضَرْبَت فْيُوزاتُه|||||v|
talk bad about him|67||ضَرَبُه إِسْفِين|||||v|
talk trash on him|67||ضَرَبُه إِسْفِين|||||v|
slam him against the wall|67||ضَرَبُه بِالحِيط|||||v|
wall|||حِيط|||||n|
knee him|67||ضَرَبُه بِرُكْبِتُه|||||v|
backhand him|67||ضَرَبُه بِقَفا إيدُه|||||v|
punch him|67||ضَرَبُه بُكْس|||||v|
slug him|67||ضَرَبُه بُكْس|||||v|
box him|67||ضَرَبُه بُكْس|||||v|
stab him|68||ضَرَبُه سِكِّينة|||||v|
kick him|68||ضَرَبُه شَلُّوط|||||v|
spank him|68||ضَرَبُه قَتْلة|||||v|
give him a beating (or spanking)|68||ضَرَبُه قَتْلة|||||v|
stab him|68||ضَرَبُه مُوس|||||v|
slash him|68||ضَرَبُه مُوس|||||v|
cut him|68||ضَرَبُه مُوس|||||v|
slap him|68||ضَرَبُه كَفّ|||||v|
request|68||طَلَب|||||v|
ask for|68||طَلَب|||||v|
ask for someone's hand in marriage|68||طَلَب إيد|||||v|
ask for a ride|68||طَلَب تَوْصِيلة|||||v|
ask for a lift|68||طَلَب تَوْصِيلة|||||v|
ride|||تَوْصِيلة|||||n|
lift|||تَوْصِيلة|||||n|
dial the number/phone|69||طَلَب الرَّقَم|||||v|
ask for forgiveness from|69||طَلَب السَّماح من|||||v|
forgiveness|||سَماح|||||n|
forgiveness|||مَغْفِرة|||||n|
file for divorce|69||طَلَب الطَّلاق|||||v|
go out|69||طِلِع|||||v|
take off|69||طِلِع|||||v|
go up|69||طِلِع|||||v|
come out to|69||طِلِع|||||v|
turn out to be|69||طِلِع|||||v|
go on vacation|70||طِلِع إجازة|||||v|
take a vacation|70||طِلِع إجازة|||||v|
die|70||طِلْعَت رُوحُه|||||v|
give up the ghost|70||طِلْعَت رُوحُه|||||v|
be bored stiff|70||طِلْعَت رُوحُه|||||v|
go up|70||طِلِع على|||||v|
climb up|70||طِلِع على|||||v|
hike up|70||طِلِع على|||||v|
ascend|70||طِلِع على|||||v|
go over (the wall, etc)|70||طِلِع فَوْق|||||v|
run over|70||طِلِع فَوْق|||||v|
get in|70||طِلِع في|||||v|
get into|70||طِلِع في|||||v|
get on|70||طِلِع في|||||v|
have the right|70||طِلِعْلُه|||||v|
have the authority|70||طِلِعْلُه|||||v|
have a position confirmed|70||طِلِعْلُه|||||v|
hang out with|71||طِلِع مع|||||v|
go out with (on a date)|71||طِلِع مع|||||v|
leave|71||طِلِع من|||||v|
have been away from|71||طِلِع من|||||v|
get away with|71||طِلِع من|||||v|
be out of the question, unthinkable|71||طِلِع من راسُه|||||v|
be unthinkable|71||طِلِع من راسُه|||||v|
leave me alone|71||إطْلَعْ من راسِي|||||phrase|
get out on parole|71||طِلِع من السِّجِن بِشُرُوط|||||v|
stay|72||ظَلّ|||||v|
remain|72||ظَلّ|||||v|
hang around|72||ظَلّ|||||v|
keep|72||ظَلّ|||||v|
last|72||ظَلّ|||||v|
do without|72||ظَلّ بِدُون|||||v|
go without|72||ظَلّ بِدُون|||||v|
be without|72||ظَلّ بِدُون|||||v|
stay out of|72||ظَلّ بَرّا|||||v|
keep away from|72||ظَلّ بَرّا|||||v|
not give in|72||ظَلّ على مَوْقِفُه|||||v|
stand his ground|72||ظَلّ على مَوْقِفُه|||||v|
stay in|72||ظَلّ فِي/ب|||||v|
hang around|72||ظَلّ فِي/ب|||||v|
sleep in|73||ظَلّ نايِم|||||v|
keep on talking|73||ظَلّ يِحْكِي|||||v|
listen (for a period of time)|73||ظَلّ يِسْمَع|||||v|
keep repeating himself|73||ظَلّ يَعِيد نَفْس الكَلام|||||v|
sound like a broken record|73||ظَلّ يَعِيد نَفْس الكَلام|||||v|
listen (for a period of time)|73||ظَلّ يِسْمَع|||||v|
think|73||ظَنّ|||||v|
suspect|73||ظَنّ|||||v|
suppose|73||ظَنّ|||||v|
think that|73||ظَنّ إنُّه|||||v|
please|74||عَجَب|||||v|
appeal|74||عَجَب|||||v|
excite|74||عَجَب|||||v|
thrill|74||عَجَب|||||v|
impress|74||عَجَب|||||v|
amaze|74||عَجَب|||||v|
know|74||عِرِف|||||v|
find out|74||عِرِف|||||v|
see right through him|74||عِرِف أَيْش جُوّاتُه|||||v|
teach|74||عَلَّم|||||v|
mark|74||عَلَّم|||||v|
check off|75||عَلَّم على|||||v|
put a check by|75||عَلَّم على|||||v|
do|75||عِمِل|||||v|
make|75||عِمِل|||||v|
do the dishes|75||عِمِل الجَلِي|||||v|
boss around|75||عِمِل أَبُو عَلِيّ على|||||v|
tell what to do|75||عِمِل أَبُو عَلِيّ على|||||v|
tell what to do|75||عِمِل إشِي فِي|||||v|
take advice|76||عِمِل بِرَأْي|||||v|
create a stir|76||عِمِل بَلْبَلة|||||v|
make a stir|76||عِمِل بَلْبَلة|||||v|
stir|||بَلْبَلة|||||n|
commotion|||بَلْبَلة|||||n|
take advice|76||رَدّ على|||||v|
make a fortune|76||عِمِل ثَرْوة|||||v|
fortune|||ثَرْوة|ثَرْوات||||n|
wealth|||ثَرْوة|ثَرْوات||||n|
riches|||ثَرْوة|ثَرْوات||||n|
commit a crime|76||عِمِل جَرِيمة|||||v|
do his best|77||عِمِل جُهْدُه|||||v|
take pains|77||عِمِل جُهْدُه|||||v|
make himself to be a teacher over (someone)|77||عِمِل خالُه مُعَلِّم على|||||v|
do a favor for|77||عِمِل خِدْمة ل|||||v|
foul (in sports)|77||عِمِل خَطَأ ضَدّ|||||v|
make a plan|77||عِمِل خِطّة|||||v|
go on a diet|77||عِمِل رُجِيم|||||v|
diet|||رُجِيم|||||n|
cause cancer|77||عِمِل سَرَطان|||||v|
make peace with|77||عِمِل سَلام مَع|||||v|
peace|||سَلام|||||n|
do a good job|78||عِمِل شُغُل كْوَيِّس|||||v|
make a deal|78||عِمِل صَفْقة|||||v|
deal|||صَفْقة|صَفْقات||||n|
bargain|||صَفْقة|صَفْقات||||n|
do maintenance|78||عِمِل صِيانة|||||v|
maintenance|||صِيانة|||||n|
have surgery|78||عِمِل عَمَلِيّة|||||v|
make a mistake|78||عِمِل غَلَط|||||v|
mess up|78||عِمِل غَلَط|||||v|
flip a coin|78||عِمِل فَنّة|||||v|
toss a coin|78||عِمِل فَنّة|||||v|
make a mess|78||عِمِل فَوْضى|||||v|
mess|||فَوْضى|||||n|
make a big deal|79||عِمِل قِصّة|||||v|
make him constipated|79||عِمِلُه إمْساك|||||v|
constipation|||الإمْساك|||||n|
diarrhea|||الإسْهال|||||n|
give a headache|79||عِمِلُّه صُداع|||||v|
give a headache|79||عِمِلُّه وَجَع راس|||||v|
give a headache|79||عِمِلُّه مَغِص|||||v|
make an example out of him|79||عِمِل عِبْرة مِن|||||v|
do a favor for|80||عِمِل مَعْرُوف ل|||||v|
cause problems|80||عِمِل مَشاكِل|||||v|
play a prank|80||عِمِل مَقْلَب|||||v|
pull a prank|80||عِمِل مَقْلَب|||||v|
make a u-turn|80||عِمِل يُو تَرْن|||||v|
do a u-turn|80||عِمِل يُو تَرْن|||||v|
u-turn|||يُو تَرْن|||||n|
inconvenience|80||غَلَّب|||||v|
give a hard time|80||غَلَّب|||||v|
make difficult|80||غَلَّب|||||v|
enter|80||فات|||||v|
go by|80||فات|||||v|
win|80||فاز ب|||||v|
beat|80||فاز على (في)|||||v|
open|81||فَتَح|||||v|
open his mind|81||فَتَح ذِهْنُه|||||v|
mind|||ذِهْن|أذْهان||||n|
pique his appetite|81||فَتَح شَهِيتُه|||||v|
increase his appetite|81||فَتَح شَهِيتُه|||||v|
give him an appetite|81||فَتَح شَهِيتُه|||||v|
show|81||فَرْجى|||||v|
show off his muscles|81||فَرْجى عَضَلاتُه|||||v|
go away|82||فَرْجى عَرْض كْتافُه|||||v|
leave|82||فَرْجى عَرْض كْتافُه|||||v|
width|||عَرْض|عُرُوض||||n|
think (about, of, on)|82||فَكَّر في\ب|||||v|
think (that)|82||فَكَّر إنُّه|||||v|
understand|82||فِهِم|||||v|
understand (someone)|83||فِهِم على|||||v|
know a lot about (something)|83||فِهِم فِي/ب|||||v|
misunderstand|83||فِهِم غَلَط|||||v|
understood from (someone)|83||فِهِم مِن|||||v|
say|83||قال|||||v|
tell|83||قال|||||v|
tell (someone)|83||قال ل|||||v|
kill|84||قَتَل|||||v|
murder|84||قَتَل|||||v|
be able to|84||قِدِر|||||v|
can|84||قِدِر|||||v|
can afford|84||قِدِر|||||v|
take him|84||قِدِر عَلَيْه|||||v|
beat him up|84||قِدِر عَلَيْه|||||v|
lick him|84||قِدِر عَلَيْه|||||v|
can tell|84||قِدِر يِلاحِظ|||||v|
can see|84||قِدِر يِلاحِظ|||||v|
can notice|84||قِدِر يِلاحِظ|||||v|
read|84||قَرا|||||v|
read his mind|84||قَرا أَفْكارُه|||||v|
read his mind|84||قَرا فِكْرُه|||||v|
read his lips|84||قَرا شَفايْفُه|||||v|
cut|85||قَطَع|||||v|
cross|85||قَطَع|||||v|
chop|85||قَطَع|||||v|
mow|85||قَطَع|||||v|
run a red light|85||قَطَع الإشارة|||||v|
dismember|85||قَطَع جِسْم|||||v|
behead|85||قَطَع راس|||||v|
come (a long way)|85||قَطَع مَسافة|||||v|
go (a long way)|85||قَطَع مَسافة|||||v|
travel (a long way)|85||قَطَع مَسافة|||||v|
distance|||مَسافة|||||n|
make a promise (to himself)|86||قَطَع وَعِد على حالُه|||||v|
promise (to himself)|86||قَطَع وَعِد على حالُه|||||v|
swear (to himself)|86||قَطَع وَعِد على حالُه|||||v|
sit|86||قَعَد|||||v|
stay|86||قَعَد|||||v|
remain|86||قَعَد|||||v|
live|86||قَعَد|||||v|
reside|86||قَعَد|||||v|
stay (doing something)|86||قَعَد على|||||v|
keep (doing something)|86||قَعَد على|||||v|
keep criticizing|86||قَعَد على الغَلْطة|||||v|
keep nit-picking|86||قَعَد على الغَلْطة|||||v|
wait for him to make a mistake|86||قَعَدْلُه على غَلْطة|||||v|
sit around|86||قَعَد فِي/ب|||||v|
hang around|86||قَعَد فِي/ب|||||v|
sit with|87||قَعَد مع|||||v|
spend time with|87||قَعَد مع|||||v|
sit down and talk with|87||قَعَد وحَكى مَع|||||v|
have a talk with|87||قَعَد وحَكى مَع|||||v|
sit up straight|87||قَعَد مْنِيح|||||v|
be|87||كان|||||v|
have to|87||كان إجْبارِي عَلَيْه|||||v|
be required of him|87||كان إجْبارِي عَلَيْه|||||v|
outsmart|87||كان أذْكى من|||||v|
outsmart|87||كان أشْطَرْ من|||||v|
outwit|87||كان أذْكى من|||||v|
outwit|87||كان أشْطَرْ من|||||v|
originate|88||كان أَصْلُه|||||v|
come from|88||كان أَصْلُه|||||v|
below par|||أَقَلّ مِن المُسْتَوى|||||adj|
below par|||أَقَلّ مِن العادِي|||||adj|
choice|||خِيار|خِيارات||||n|
option|||خِيار|خِيارات||||n|
choice|||إخْتِيار|إخْتِيارات||||n|
option|||إخْتِيار|إخْتِيارات||||n|
ulterior motive|||مَصْلَحة|||||n|
hidden motive|||مَصْلَحة|||||n|
user|||مَصْلَحْجِي|||||n|
user|||إسْتِغْلالِي|||||n|
exploiter|||مَصْلَحْجِي|||||n|
exploiter|||إسْتِغْلالِي|||||n|
fraud|||مَصْلَحْجِي|||||n|
fraud|||إسْتِغْلالِي|||||n|
fake|||مَصْلَحْجِي|||||n|
fake|||إسْتِغْلالِي|||||n|
stay out of it|||كان بِحالُه|||||v|
be by himself|||كان بِحالُه|||||v|
alone|||بِحالُه|||||adj|
could pass for|||شِكْلُه زَيّ|||||phrase|
could pass for|||شِكْلُه كَإِنُّه|||||phrase|
look like|||شِكْلُه زَيّ|||||phrase|
look like|||شِكْلُه كَإِنُّه|||||phrase|
true|||صَحّ|||||adj|
correct|||صَحّ|||||adj|
right|||صَحّ|||||adj|
have|88||كان عِنْدُه|||||v|
want|88||كان بِدُّه|||||v|
have to|90||كان ضَرُورِي|||||v|
be necessary|90||كان ضَرُورِي|||||v|
have a difficult time|90||كان صَعْب عَلَيْه|||||v|
be hard on|90||كان صَعْب عَلَيْه|||||v|
outnumber|90||كان عَدَدْهُم أَكْثَر من|||||v|
the mastermind behind it|||العَقِل المُدَبِّر وَراه|||||phrase|
mismanage|90||كان عِنْدُه سُوء إِدارة في\ل\ب|||||v|
mishandle|90||كان عِنْدُه سُوء إِدارة في\ل\ب|||||v|
have to|91||كان لازِم|||||v|
must be|91||كان لازِم|||||v|
be necessary|91||كان لازِم|||||v|
need|91||كان لازْمُه|||||v|
need|91||لازِمْلُه|||||modal|
be an example of|91||كان مِثال ل|||||v|
be a model of|91||كان مِثال ل|||||v|
owe|91||كان مَدْيُون ل/ب|||||v|
indebted|||مَدْيُون ل/ب|||||adj|
in debt to|||مَدْيُون ل/ب|||||adj|
be in a bad mood|92||كان مَزاجُه عِكْر|||||v|
be in a foul mood|92||كان مَزاجُه عِكْر|||||v|
cloudy (as in a liquid)|||عِكْر|||||adj|
muddy|||عِكْر|||||adj|
turbid|||عِكْر|||||adj|
have|92||كان مَعُه|||||v|
can afford to|92||كان مَعُه|||||v|
have the money to|92||كان مَعُه|||||v|
suppose to|92||كان مَفْرُوض|||||v|
suppose to|92||مَفْرُوض إنُّه|||||modal|
full|||مَلْيان|||مَلْيانة||adj|
packed|||مَلْيان|||مَلْيانة||adj|
feel sick|92||كان مَنافْسُه بْتِلْعِي|||||v|
feel sick|92||كان مَنافْسُه مَقْلُوبة|||||v|
feel nauseous|92||كان مَنافْسُه بْتِلْعِي|||||v|
feel nauseous|92||كان مَنافْسُه مَقْلُوبة|||||v|
upside-down|||مَقْلُوبة|||||adj|
obsessed|||مَهْوُوس فِي/ب|||||adj|
present|||مَوْجُود|||||adj|
be here|||مَوْجُود|||||adj|
be there|||مَوْجُود|||||adj|
outweigh|93||كان وَزْنُه أكْثَرْ من|||||v|
write|93||كَتَب|||||v|
lie to|93||كَذَّب على|||||v|
deceive himself|94||كَذَّب على حالُه|||||v|
break|94||كَسَر|||||v|
disappoint him|94||كَسَر خاطْرُه|||||v|
let him down|94||كَسَر خاطْرُه|||||v|
break her heart|94||كَسَر قَلْبْها|||||v|
break your head (used as a threat)|94||كَسَر راسَك|||||v|
cost|95||كَلَّف|||||v|
commission|95||كَلَّف|||||v|
leave him in charge|95||كَلَّفُه|||||v|
leave him in charge|95||كَلَّفُه إنُّه|||||v|
leave him in charge|95||كَلَّفُه ب|||||v|
make him responsible|95||كَلَّفُه|||||v|
make him responsible|95||كَلَّفُه إنُّه|||||v|
make him responsible|95||كَلَّفُه ب|||||v|
play|95||لِعِب|||||v|
lift weights|95||لِعِب حَدِيد|||||v|
pump iron|95||لِعِب حَدِيد|||||v|
work out (with weights)|95||لِعِب حَدِيد|||||v|
play a role (in a play, society, etc.)|95||لِعِب دَوْر|||||v|
cancel|96||لَغى|||||v|
overturn|96||لَغى|||||v|
override|96||لَغى|||||v|
throw out the idea|96||لَغى الفِكْرة|||||v|
throw out the idea|96||لَغى المَشْرُوع|||||v|
scratch that idea|96||لَغى الفِكْرة|||||v|
scratch that idea|96||لَغى المَشْرُوع|||||v|
find|97||لَقى|||||v|
locate|97||لَقى|||||v|
find that (something is true)|97||لَقى إنُّه|||||v|
find a way (to do something)|97||لَقى طَرِيقة|||||v|
die|97||مات|||||v|
crave|97||مات على|||||v|
be dying for|97||مات على|||||v|
love|97||مات في|||||v|
be crazy about|97||مات في|||||v|
panic|97||مات من الخَوْف|||||v|
freak out|97||مات من الخَوْف|||||v|
spaz out|97||مات من الخَوْف|||||v|
die laughing|97||مات من الضُّحُك|||||v|
laughing|||ضُحُك|||||n|
grab|98||مَسَك|||||v|
hold|98||مَسَك|||||v|
catch|98||مَسَك|||||v|
hold hands|98||مَسَك إيدَيْن بَعْض|||||v|
hold the hand (of someone)|98||مَسَك إيد|||||v|
hang onto|98||مَسَك ب\في|||||v|
hold it (for bathroom)|98||مَسَك حالُه|||||v|
control himself (anger, etc)|98||مَسَك حالُه|||||v|
hold something for him|99||مَسَكْلُه إشِي|||||v|
hang onto something for him|99||مَسَكْلُه إشِي|||||v|
make him constipated|99||مَسَك مَعْدَتُه|||||v|
walk|99||مَشى|||||v|
walk|99||مِشِي|||||v|
go (well, badly, etc)|99||مَشى|||||v|
go (well, badly, etc)|99||مِشِي|||||v|
indulge|99||مَشى حَسَب|||||v|
live according to|99||مَشى حَسَب|||||v|
go along with (the joke, someone, etc)|99||مَشى مع|||||v|
sleep|100||نام|||||v|
sleep with|100||نام مع|||||v|
have sex with|100||نام مع|||||v|
go down|100||نِزِل|||||v|
land|100||نِزِل|||||v|
descend|100||نِزِل|||||v|
come down|100||نِزِل|||||v|
come down hard on|100||نِزِل بَهْدَلة في\ب|||||v|
give a tongue-lashing|100||نِزِل بَهْدَلة في\ب|||||v|
tongue-lashing|||بَهْدَلة|||||n|
telling-off|||بَهْدَلة|||||n|
chewing-out|||بَهْدَلة|||||n|
parachute (from a plane, etc)|100||نِزِل بِالمَظَلّة|||||v|
parachute|||مَظَلّة|مَظَلّات||||n|
umbrella|||مَظَلّة|مَظَلّات||||n|
hit repeatedly|100||نِزِل ضَرْب في\ب|||||v|
give a beating|100||نِزِل ضَرْب في\ب|||||v|
come down on|101||نِزِل على|||||v|
land on|101||نِزِل على|||||v|
climb down from|101||نِزِل عن|||||v|
get off of|101||نِزِل عن|||||v|
land on|101||نِزِل على|||||v|
get off (the bus, plane, horse, etc)|101||نِزِل من|||||v|
stoop to his level|101||نِزِل لِمُسْتَواه|||||v|
sink to his level|101||نِزِل لِمُسْتَواه|||||v|
get down on his level|101||نِزِل لِمُسْتَواه|||||v|
fluctuate|101||نِزِل وطِلِع|||||v|
go up and down|101||نِزِل وطِلِع|||||v|
forget|102||نِسِي|||||v|
forget himself (his manners)|102||نِسِي حالُه|||||v|
be absent-minded|102||نِسِي حالُه|||||v|
misplace|102||نِسِي وَيْن حَطّ|||||v|
forget where he put|102||نِسِي وَيْن حَطّ|||||v|
choose|102||نَقّى|||||v|
pick|102||نَقّى|||||v|
select|102||نَقّى|||||v|
arrive|102||وِصِل ل\على|||||v|
reach|102||وِصِل ل\على|||||v|
make it to|102||وِصِل ل\على|||||v|
compromise with|103||وِصِل لَحَلّ وَسَطْ (مع)|||||v|
reach a compromise (with) (over)|103||وِصِل لَحَلّ وَسَطْ (مع) (بِالنِّسْبة ل/على)|||||v|
reach the level|103||وِصِل لِمُسْتَوى|||||v|
get to the level|103||وِصِل لِمُسْتَوى|||||v|
fall|103||وِقِع|||||v|
fall in|103||وِقِع|||||v|
fall down|103||وِقِع|||||v|
fall over|103||وِقِع|||||v|
collapse|103||وِقِع|||||v|
fall out of|103||وِقِع عن|||||v|
fall off of|103||وِقِع عن|||||v|
fall in love with her|103||وِقِع في حُبّها|||||v|
get into trouble|103||وِقِع في مُشْكِلة|||||v|
stand|104||وَقَّف|||||v|
stand up|104||وَقَّف|||||v|
make stand up|104||وَقَّف|||||v|
stop|104||وَقَّف|||||v|
pause|104||وَقَّف|||||v|
his hair stood straight up|104||وَقَّف شَعِر راسُه|||||phrase|
lay him off (from work)|104||وَقَّف شُغُلُه|||||v|
lay him off (from work)|104||وَقَّفُه عن الشُغُل|||||v|
run against (for office)|105||وَقَّف ضِدّ (في\ب)|||||v|
side with|105||وَقَّف في صَفّ|||||v|
take sides with|105||وَقَّف في صَفّ|||||v|
be on someone's side|105||وَقَّف في صَفّ|||||v|
stand by|105||وَقَّف جَنْب|||||v|
stand beside|105||وَقَّف جَنْب|||||v|
stand up for|105||وَقَّف مع|||||v|
take a stand for|105||وَقَّف مع|||||v|
stand up to|105||وَقَّف ل|||||v|
hold|106||مَسَك|||||v|1a
catch|106||مَسَك|||||v|1a
grab|106||مَسَك|||||v|1a
arrest|106||مَسَك|||||v|1a
book|106||حَجَر|||||v|1a
reserve|106||حَجَر|||||v|1a
serve|106||خَدَم|||||v|1a
create|106||خَلَق|||||v|1a
worship|106||عَبَد|||||v|1a
adore|106||عَبَد|||||v|1a
invite|106||عَزَم|||||v|1a
bury|106||دَفَن|||||v|1a
swear|106||قَسَم|||||v|1a
swear|106||حَلَف|||||v|1a
play (guitar)|106||عَزَف|||||v|1a
harp on|106||عَزَف|||||v|1a
chew gum|106||عَلَك|||||v|1a
wash|106||غَسَل|||||v|1a
beat (win)|106||غَلَب|||||v|1a
carry|106||حَمَل|||||v|1a
separate|106||فَصَل|||||v|1a
divide|106||فَصَل|||||v|1a
hear|106||سِمِع|||||v|1b
listen|106||سِمِع|||||v|1b
ride|106||رِكِب|||||v|1b
make a mistake|106||غِلِط|||||v|1b
drink|106||شِرِب|||||v|1b
fail|106||فِشِل|||||v|1b
know|106||عِرِف|||||v|1b
find out|106||عِرِف|||||v|1b
accept|106||قِبِل|||||v|1b
memorize|106||حِفِظ|||||v|1b
keep|106||حِفِظ|||||v|1b
be able to|106||قِدِر|||||v|1b
can|106||قِدِر|||||v|1b
can afford|106||قِدِر|||||v|1b
profit|106||رِبِح|||||v|1b
win money|106||رِبِح|||||v|1b
ruin|106||خِرِب|||||v|1b
destroy|106||خِرِب|||||v|1b
lose (a game, etc)|106||خِسِر|||||v|1b
play (game, with toys, etc)|106||لِعِب|||||v|1b
succeed|106||نِجِح|||||v|1b
understand|106||فِهِم|||||v|1b
do|107||عِمِل|||||v|
make|107||عِمِل|||||v|
lift|107||رَفَع|||||v|
raise|107||رَفَع|||||v|
send|107||بَعَث|||||v|
wound|107||جَرَح|||||v|
hurt|107||جَرَح|||||v|
hurt|||وَجَع|||||v|
hurt|||أَزى|||||v|
curse (supernatural, God)|107||لَعَن|||||v|
joke|107||مَزَح|||||v|
forbid|107||مَنَع|||||v|
prevent|107||مَنَع|||||v|
copy|107||نَسَخ|||||v|
advise|107||نَصَح|||||v|
benefit|107||نَفَع|||||v|
kneel|107||رَكَع|||||v|
travel|107||رَحَل|||||v|
leave|107||رَحَل|||||v|
depart|107||رَحَل|||||v|
slaughter|107||ذَبَح|||||v|
push|107||دَفَع|||||v|
pay|107||دَفَع|||||v|
open|107||فَتَح|||||v|
leave|108||تَرَك|||||v|
quit|108||تَرَك|||||v|
dance|108||رَقَص|||||v|
refuse|108||رَفَض|||||v|
fail|108||رَسَب|||||v|
tie|108||رَبَط|||||v|
tie up|||رَبَط|||||v|
mention|108||ذَكَر|||||v|
remind|108||ذَكَر|||||v|
enter|108||دَخَل|||||v|
mix|108||خَلَط|||||v|
write|108||كَتَب|||||v|
thank|108||شَكَر|||||v|
judge|108||حَكَم|||||v|
sentence|108||حَكَم|||||v|
hit (sudden)|108||خَبَط|||||v|
steal|108||سَرَق|||||v|
rob|108||سَرَق|||||v|
talk|108||بَرَم|||||v|
become|108||صار|||||v|
happen|108||صار|||||v|
start|108||صار|||||v|
begin|108||صار|||||v|
insult|108||هان|||||v|
move|108||شال|||||v|
carry|108||شال|||||v|
sell|108||باع|||||v|
leave|108||ساب|||||v|
move|108||زاح|||||v|
broadcast|108||ذاع|||||v|
announce|108||ذاع|||||v|
hit the target|108||صاب|||||v|
condemn|108||دان|||||v|
turn|108||دار|||||v|
increase|108||زاد|||||v|
exceed|108||زاد|||||v|
fly|108||طار|||||v|
bring|108||جاب|||||v|
wake up|108||فاق|||||v|
measure|108||قاس|||||v|
try on|108||قاس|||||v|
shout|108||ساح|||||v|
sleep|109||نام|||||v|
be jealous|109||غار على|||||v|
envy|109||غار على|||||v|
fear|109||خاف|||||v|
worry about|109||خاف على|||||v|
be afraid of|109||خاف من|||||v|
be scared of|109||خاف من|||||v|
feel intimidated by|109||خاف من|||||v|
see|109||شاف|||||v|
fast|109||صام|||||v|
be|109||كان|||||v|
drive|109||ساق|||||v|
go|109||راح|||||v|
die|109||مات|||||v|
betray|109||خان|||||v|
enter|109||فات|||||v|
pass|109||فات|||||v|
become hungry|109||جاع|||||v|
taste|109||ذاق|||||v|
turn|109||دار|||||v|
win|109||فاز|||||v|
repent|109||تاب|||||v|
visit|109||زار|||||v|
say|109||قال|||||v|
tell|109||قال|||||v|
depress|110||كَئَب|||||v|
speak|110||حَكى|||||v|
say|110||حَكى|||||v|
talk|110||حَكى|||||v|
walk|110||مَشى|||||v|
cancel|110||لَغى|||||v|
protect|110||حَمى|||||v|
fry|110||قَلى|||||v|
iron|110||كَوى|||||v|
erase|110||مَحى|||||v|
intend|110||نَوى|||||v|
throw|110||رَمى|||||v|
reap|110||جَنى|||||v|
wash|110||جَلى|||||v|
mean|110||عَنى|||||v|
build|110||بَنى|||||v|
cry|110||بَكى|||||v|
forget|111||نِسِي|||||v|
satisfy|111||رِضِي|||||v|
please|111||رِضِي|||||v|
remain|111||بِقِي|||||v|
stay|111||بِقِي|||||v|
wake up|111||صِحِي|||||v|
lower|111||وِطِي|||||v|
bend over|111||وِطِي|||||v|
raise|111||عِلِي|||||v|
love|111||حَبّ|||||v|
like|111||حَبّ|||||v|
shake|111||هَزّ|||||v|
wet|111||بَلّ|||||v|
swear|111||سَبّ|||||v|
cuss|111||سَبّ|||||v|
